word,count
THAT,413389
WHAT,285826
THIS,249860
KNOW,241548
HAVE,210523
JUST,196810
YOUR,188060
WITH,169586
WELL,155201
HERE,124368
LIKE,121194
YEAH,121148
WANT,102822
COME,72807
GOOD,72798
THEY,69192
LOOK,67262
WHEN,65117
TIME,64891
WILL,64811
OKAY,63509
BACK,63115
MEAN,61504
TELL,61352
FROM,59972
WERE,58127
BEEN,55235
SOME,53265
THEN,52197
TAKE,49868
MAKE,46154
NEED,46040
LOVE,42994
SURE,40757
THEM,40366
MORE,40239
OVER,40001
DOWN,37644
VERY,36140
SAID,34568
MUCH,34270
LIFE,34192
EVEN,33895
GIVE,31073
ONLY,30599
HELP,29825
TALK,28834
WAIT,27920
INTO,27354
FIND,26757
CALL,25880
TOLD,25594
EVER,25127
THAN,24815
AWAY,24543
FEEL,23850
WORK,23683
FINE,22993
HOME,22901
LAST,21965
KEEP,21842
DOES,21731
STOP,21341
LONG,21086
GUYS,19953
KIND,19031
MADE,18872
CARE,18042
HEAR,16523
BABY,16514
NICE,16275
ELSE,16214
STAY,16167
DONE,16010
MIND,15364
HELL,15191
CAME,15142
IDEA,14203
BEST,14094
MUST,14089
ROOM,13467
LEFT,13428
KNEW,13357
REAL,13161
HOPE,13093
NAME,13044
SAME,13024
WENT,12892
GIRL,12641
SHOW,12392
NEXT,12147
HURT,11145
BOTH,11035
DEAD,11002
KILL,10676
HARD,10608
HOLD,10254
SEEN,10192
DEAL,10143
TOOK,10083
ONCE,9931
GONE,9877
HEAD,9794
MOST,9699
USED,9623
PART,9518
LIVE,9507
FACE,9441
TRUE,9296
EACH,9277
SOON,9261
WIFE,9125
MOVE,9073
SUCH,8813
MISS,8806
MEET,8608
MANY,8504
DAMN,8367
LOST,8348
CASE,8287
TURN,8264
WISH,8262
KIDS,8247
LATE,8164
FIVE,8137
TOWN,8099
YEAR,8013
PLAY,7883
HATE,7839
SAYS,7821
GAVE,7759
FACT,7654
OPEN,7598
REST,7417
WORD,7355
GLAD,7277
DAYS,7213
WHOA,7081
MRS],7064
GETS,7023
DOOR,6907
HAND,6872
EASY,6848
WALK,6619
MINE,6503
SHUT,6294
ABLE,6289
FOUR,6014
COOL,5954
EYES,5950
NEWS,5936
HALF,5819
SIDE,5813
READ,5743
PICK,5610
ALSO,5583
DATE,5581
LINE,5564
PLAN,5557
LOSE,5459
FIRE,5452
FREE,5433
SHIT,5388
HIGH,5377
WEEK,5356
PAST,5315
SICK,5256
GAME,5212
GOES,5194
SAVE,5144
BOOK,5027
SEEM,5001
SORT,5000
SAFE,4999
SHOT,4866
FELT,4748
PAUL,4616
FULL,4533
DEAR,4516
FUCK,4453
HOUR,4325
LADY,4301
BODY,4271
HANG,4243
SEND,4045
DIED,3996
JAKE,3962
SIGN,3890
BOYS,3888
HAIR,3839
LUCK,3792
LUIS,3773
KISS,3750
PAIN,3720
COLD,3690
FAST,3661
FOOD,3632
NONE,3615
TEST,3547
DROP,3546
SENT,3524
CITY,3515
LUCY,3450
POOR,3431
PULL,3340
